"spp","family"
"Chionis_minor","Chionidae"
"Chionis_alba","Chionidae"
"Pluvianellus_socialis","Pluvianellidae"
"Burhinus_oedicnemus","Burhinidae"
"Burhinus_vermiculatus","Burhinidae"
"Pluvianus_aegyptius","Burhinidae"
"Haematopus_ostralegus","Haematopodini"
"Himantopus_himantopus","Recurvirostrini"
"Recurvirostra_andina","Recurvirostrini"
"Recurvirostra_americana","Recurvirostrini"
"Recurvirostra_novaehollandiae","Recurvirostrini"
"Recurvirostra_avosetta","Recurvirostrini"
"Cladorhynchus_leucocephalus","Recurvirostrini"
"Ibidorhyncha_struthersii","Recurvirostrini"
"Vanellus_malabaricus","Charadriinae"
"Erythrogonys_cinctus","Charadriinae"
"Charadrius_montanus","Charadriinae"
"Oreopholus_ruficollis","Charadriinae"
"Pluvialis_fulva","Charadriinae"
"Pluvialis_dominica","Charadriinae"
"Pluvialis_apricaria","Charadriinae"
"Pluvialis_squatarola","Charadriinae"
"Cursorius_temminckii","Glareolidae"
"Rhinoptilus_cinctus","Glareolidae"
"Rhinoptilus_chalcopterus","Glareolidae"
"Rhinoptilus_bitorquatus","Glareolidae"
"Rhinoptilus_africanus","Glareolidae"
"Glareola_pratincola","Glareolidae"
"Stiltia_isabella","Glareolidae"
"Catharacta_antarctica","Stercorariini"
"Catharacta_maccormickii","Stercorariini"
"Catharacta_skua","Stercorariini"
"Stercorarius_longicaudus","Stercorariini"
"Stercorarius_parasiticus","Stercorariini"
"Stercorarius_pomarinus","Stercorariini"
"Larosterna_inca","Stercorariini"
"Rynchops_albicollis","Rynchopini"
"Rynchops_flavirostris","Rynchopini"
"Rynchops_niger","Rynchopini"
"Larus_bulleri","Larini"
"Larus_novaehollandiae","Larini"
"Larus_hartlaubii","Larini"
"Larus_genei","Larini"
"Larus_brunnicephalus","Larini"
"Larus_cirrocephalus","Larini"
"Larus_ridibundus","Larini"
"Larus_maculipennis","Larini"
"Larus_scopulinus","Larini"
"Larus_serranus","Larini"
"Larus_philadelphia","Larini"
"Larus_saundersi","Larini"
"Larus_minutus","Larini"
"Rhodostethia_rosea","Larini"
"Rissa_brevirostris","Larini"
"Rissa_tridactyla","Larini"
"Creagrus_furcatus","Larini"
"Pagophila_eburnea","Larini"
"Larus_relictus","Larini"
"Larus_ichtyaetus","Larini"
"Larus_melanocephalus","Larini"
"Larus_atricilla","Larini"
"Larus_pipixcan","Larini"
"Larus_modestus","Larini"
"Larus_fuliginosus","Larini"
"Larus_scoresbii","Larini"
"Larus_hemprichii","Larini"
"Larus_leucopthalmus","Larini"
"Larus_pacificus","Larini"
"Larus_atlanticus","Larini"
"Larus_belcheri","Larini"
"Larus_delawarensis","Larini"
"Larus_crassirostris","Larini"
"Larus_heermanni","Larini"
"Xema_sabini","Larini"
"Anous_tenuirostris","Sternini"
"Anous_minutus","Sternini"
"Anous_stolidus","Sternini"
"Procelsterna_cerulea","Sternini"
"Sterna_hirundo","Sternini"
"Gygis_microrhyncha","Sternini"
"Gygis_alba","Sternini"
"Dromas_ardeola","Dromadidae"
"Fratercula_corniculata","Alcinae"
"Fratercula_arctica","Alcinae"
"Fratercula_cirrhata","Alcinae"
"Cerorhinca_monocerata","Alcinae"
"Cyclorhynchus_psittacula","Alcinae"
"Aethia_pusilla","Alcinae"
"Aethia_pygmaea","Alcinae"
"Aethia_cristatella","Alcinae"
"Ptychoramphus_aleuticus","Alcinae"
"Brachyramphus_brevirostris","Alcinae"
"Brachyramphus_marmoratus","Alcinae"
"Cepphus_carbo","Alcinae"
"Cepphus_columba","Alcinae"
"Cepphus_grylle","Alcinae"
"Pinguinus_impennis","Alcinae"
"Alca_torda","Alcinae"
"Uria_lomvia","Alcinae"
"Uria_aalge","Alcinae"
"Alle_alle","Alcinae"
"Synthliboramphus_wumizusume","Alcinae"
"Synthliboramphus_antiquus","Alcinae"
"Synthliboramphus_craveri","Alcinae"
"Synthliboramphus_hypoleucus","Alcinae"
"Attagis_malouinus","Thinocoridae"
"Attagis_gayi","Thinocoridae"
"Thinocorus_rumicivorus","Thinocoridae"
"Thinocorus_orbignyianus","Thinocoridae"
"Pedionomus_torquatus","Pedionomidae"
"Actophilornis_albinucha","Jacanidae"
"Actophilornis_africanus","Jacanidae"
"Irediparra_gallinacea","Jacanidae"
"Microparra_capensis","Jacanidae"
"Metopidius_indicus","Jacanidae"
"Jacana_jacana","Jacanidae"
"Jacana_spinosa","Jacanidae"
"Hydrophasianus_chirurgus","Jacanidae"
"Rostratula_semicollaris","Rostratulidae"
"Rostratula_benghalensis","Rostratulidae"
"Numenius_minutus","Scolopacidae"
"Bartramia_longicauda","Scolopacidae"
"Limosa_lapponica","Scolopacidae"
"Limosa_limosa","Scolopacidae"
"Limosa_haemastica","Scolopacidae"
"Limosa_fedoa","Scolopacidae"
"Coenocorypha_pusilla","Scolopacidae"
"Coenocorypha_aucklandica","Scolopacidae"
"Scolopax_minor","Scolopacidae"
"Gallinago_hardwickii","Scolopacidae"
"Lymnocryptes_minimus","Scolopacidae"
"Limnodromus_scolopaceus","Scolopacidae"
"Limnodromus_griseus","Scolopacidae"
"Limnodromus_semipalmatus","Scolopacidae"
"Catoptrophorus_semipalmatus","Scolopacidae"
